sample_fp	plate	well	tile	cycle
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-165__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	165	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-166__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	166	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-167__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	167	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-168__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	168	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-169__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	169	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-170__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	170	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-171__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	171	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-172__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	172	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-173__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	173	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-174__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	174	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-175__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	175	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	2
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c3/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	3
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c4/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	4
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c5/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	5
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c6/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	6
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c7/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	7
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c8/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	8
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c9/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	9
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c10/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	10
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c11/P001_SBS_10x_Wells-A1_Points-176__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	176	11
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c1/P001_SBS_10x_Wells-A1_Points-177__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	177	1
/lab/barcheese01/brieflow_screens/denali-data/input_sbs/plate_1/c2/P001_SBS_10x_Wells-A1_Points-177__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	177	2
